lat,lon,depth_m,diameter_m,dD,pf_slope,ef_slope,circ,test
-89.3,20.35,405.66,4303.9,0.094255,0.14066,0.21028,0.761,0
-89.29,-58.92,280.87,4346.1,0.064626,0.10278,0.068158,0.9484,0
-89.28,-122.7,390.36,2920.5,0.13366,0.16646,0.14844,0.9703,0
-89.24,-17.13,610.35,5055.5,0.12073,0.23108,0.086901,0.94002,0
-89.21,74.19,501.35,7027.3,0.071343,0.13423,0.1895,0.88205,0
-89.19,28.02,590.28,3860.9,0.15289,0.22416,0.33732,0.94081,0
-89.146,64.519,108.98,2164.3,0.050353,0.069942,0.091181,0.7234,0
-89.079,143.36,361.49,2543.5,0.14213,0.20083,0.087355,0.96676,0
-89.008,-147.63,219.18,3399.2,0.064479,0.14003,0.14533,0.9203,0
-88.91,97.18,628.41,5530.8,0.11362,0.25232,0.22052,0.91838,0
-88.86,39.25,281.37,2722.5,0.10335,0.20767,0.3324,0.87034,0
-88.77,109.5,288.39,2731.5,0.10558,0.17675,0.089902,0.83449,0
-88.761,52.974,764.07,8069.7,0.094684,0.17705,0.12257,0.86749,0
-88.74,-36.96,727.33,3315.7,0.21936,0.44339,0.49494,0.94363,0
-88.74,-14.54,2664.3,12063,0.22087,0.33503,0.384,0.57438,0
-88.73,-79.82,615.92,4798.5,0.12836,0.059624,0.24496,0.83594,0
-88.698,145.77,147.97,2470.8,0.059886,0.058792,0.078765,0.89519,0
-88.61,-29.86,665.18,7719.5,0.086168,0.14497,0.17211,0.86656,0
-88.53,100.71,460.41,4080.5,0.11283,0.23957,0.24042,0.78402,0
-88.46,13.58,317.61,4227.3,0.075133,0.14455,0.15613,0.72358,0
-88.46,57.95,1017.3,8117.6,0.12532,0.20521,0.27194,0.9592,0
-88.453,-45.71,305.6,2240.8,0.13638,0.040559,0.066657,0.69092,0
-88.41,-29.46,138.72,2086.4,0.066489,0.1119,0.073984,0.73012,0
-88.33,81.41,1272.9,8677,0.1467,0.17271,0.1996,0.66388,0
-88.31,73.82,1305.9,8677,0.1505,0.13674,0.18874,0.66388,0
-88.31,89.44,1275.3,8603.8,0.14822,0.24647,0.12539,0.67931,0
-88.29,156.45,992.05,6020.6,0.16478,0.25371,0.35798,0.95549,0
-88.27,39.16,285.36,2826.3,0.10097,0.22486,0.22321,0.57711,0
-88.19,-54.04,912.51,9030.9,0.10104,0.11386,0.12518,0.94855,0
-88.09,159.02,355.4,3425.3,0.10376,0.095055,0.12255,0.65145,0
-88.042,89.228,468.63,3012.7,0.15555,0.30464,0.12652,0.69791,0
-88.04,-177.32,587.22,6213.5,0.094507,0.14258,0.11516,0.87637,0
-88,137.1,352.05,3384.9,0.10401,0.16944,0.22416,0.98833,0
-87.98,55.78,416,4255.4,0.097758,0.15332,0.11446,0.81136,0
-87.97,-62.37,254.39,3958.5,0.064263,0.070157,0.10909,0.79201,0
-87.96,-84.19,385.29,5344.7,0.072088,0.068007,0.16388,0.98195,0
-87.956,132.14,122.76,1796.3,0.068342,0.14777,0.11756,0.83818,0
-87.94,17.52,323.32,3584.9,0.090191,0.089892,0.19587,0.72578,0
-87.93,145.85,464.84,4978.8,0.093364,0.16229,0.11765,0.91909,0
-87.9,-132.87,786.2,7621.1,0.10316,0.23347,0.16309,0.81903,0
-87.876,-177.05,157.14,2510.7,0.062589,0.14586,0.070173,0.82284,0
-87.87,24.535,331.93,3823.4,0.086815,0.14214,0.13477,0.81815,0
-87.87,-41.09,1047.4,6019.8,0.17398,0.24915,0.2898,0.59716,0
-87.86,150.28,492.3,4204.6,0.11708,0.16625,0.12945,0.89721,0
-87.858,-171.98,87.557,2068.5,0.042328,0.11429,0.055669,0.84356,0
-87.853,-89.53,329.92,2636.1,0.12515,0.13017,0.17776,0.51125,0
-87.85,40.35,347.23,3293.5,0.10543,0.23965,0.19435,0.97681,0
-87.848,133.76,620.66,4023.1,0.15427,0.30625,0.092786,0.90991,0
-87.846,-166.47,247,2954.7,0.083597,0.19075,0.11674,0.73895,0
-87.8,143.97,263.39,2172.5,0.12124,0.1826,0.13967,0.57263,0
-87.79,-105.05,407.97,2250.8,0.18125,0.23429,0.2158,0.49706,0
-87.79,-95.58,532.53,6581.8,0.080909,0.11216,0.076632,0.73076,0
-87.77,14.48,724.95,4948.7,0.14649,0.14725,0.29921,0.86209,0
-87.691,-168.14,213.3,2607.1,0.081814,0.20747,0.1101,0.70318,0
-87.69,103.52,437.75,3688.2,0.11869,0.30634,0.24031,0.90734,0
-87.69,110.85,598.38,3798.1,0.15755,0.32685,0.2024,0.59129,0
-87.678,153.86,211.03,2896.4,0.072858,0.061072,0.12427,0.67554,0
-87.66,105.62,438.3,3764.9,0.11642,0.27888,0.22616,0.91589,0
-87.65,25.01,289.19,2910.1,0.099375,0.14767,0.13895,0.65613,0
-87.65,67.11,776.97,4859.4,0.15989,0.26954,0.25732,0.51263,0
-87.645,-145.11,151.4,1776.7,0.085214,0.15914,0.13651,0.844,0
-87.63,3.13,162.09,2520.2,0.064315,0.037481,0.053942,0.47803,0
-87.614,28.336,419.42,3465.6,0.12102,0.20397,0.1294,0.82085,0
-87.61,19.61,481.64,3864,0.12465,0.20629,0.20418,0.85829,0
-87.595,98.409,101.53,2509,0.040469,0.043131,0.08858,0.6595,0
-87.59,-8.23,383.89,4051.3,0.094759,0.17803,0.21171,0.7327,0
-87.55,-26.83,1238.8,8415.2,0.14721,0.2424,0.27657,0.6087,0
-87.537,153.75,148.57,2111.3,0.070369,0.093291,0.082576,0.70574,0
-87.53,135.53,813.02,4970.4,0.16357,0.19904,0.31564,0.89874,0
-87.512,-130.14,180.43,2258.5,0.07989,0.17337,0.13203,0.94314,0
-87.49,142.43,296.47,3729.1,0.079501,0.1434,0.17328,0.79663,0
-87.49,-12.34,1299.3,7274.7,0.17861,0.31728,0.26411,0.7736,0
-87.44,-84.86,755.65,7100.5,0.10642,0.098851,0.1752,0.82137,0
-87.44,-30.2,513.63,5096.8,0.10078,0.12563,0.13909,0.5953,0
-87.427,97.856,254.48,3393.6,0.074991,0.10252,0.16131,0.78759,0
-87.42,162.48,542.15,4199.7,0.12909,0.032657,0.049706,0.41527,0
-87.41,29.08,283.27,2640.2,0.10729,0.17476,0.18171,0.95721,0
-87.4,0.36,190.54,2779.7,0.068548,0.11399,0.11465,0.98925,0
-87.39,-108.54,1903.3,13581,0.14015,0.08971,0.1294,0.53591,0
-87.378,166.79,200.6,2394.5,0.083773,0.14865,0.11872,0.77028,0
-87.348,-94.94,154.43,1757.1,0.087888,0.17309,0.10879,0.72209,0
-87.34,-121.31,454.55,2984.5,0.1523,0.15238,0.2683,0.50329,0
-87.332,91.973,315.52,3226.6,0.097788,0.18102,0.1911,0.76231,0
-87.32,139.06,507.86,3665,0.13857,0.057943,0.099273,0.8001,0
-87.32,178.67,239.75,3465.3,0.069187,0.11893,0.079592,0.73093,0
-87.27,57.4,262.66,1788.6,0.14685,0.25644,0.17017,0.98481,0
-87.25,-89.01,306.16,3129,0.097845,0.20046,0.14802,0.85727,0
-87.24,76.86,1878.2,10324,0.18192,0.3867,0.14392,0.56286,0
-87.23,-153.64,216.1,2346.6,0.092091,0.099719,0.045014,0.54362,0
-87.21,59.33,373.87,3983.5,0.093855,0.10931,0.1521,0.87937,0
-87.16,-88.79,306.16,3129,0.097845,0.20079,0.14767,0.85727,0
-87.14,41.05,1708.1,9918.2,0.17222,0.41939,0.27265,0.48825,0
-87.14,64.64,481.16,3880.1,0.124,0.21543,0.18207,0.85542,0
-87.14,125.73,685.76,8820.2,0.077749,0.086885,0.048721,0.85129,0
-87.13,-72.82,461.16,3628.1,0.12711,0.30407,0.30037,0.98929,0
-87.12,25.91,400.49,2126.3,0.18835,0.39272,0.33787,0.96463,0
-87.12,56.78,374.72,4850.2,0.077259,0.073475,0.13546,0.85979,0
-87.086,-93.65,358.63,3943.3,0.090948,0.11151,0.13225,0.7389,0
-87.02,14.98,655.74,5738.6,0.11427,0.20928,0.23789,0.93437,0
-87.015,64.067,479.67,3987.3,0.1203,0.23608,0.22056,0.89838,0
-86.985,32.815,748.21,5393.5,0.13873,0.27575,0.30412,0.67695,0
-86.979,-120.08,195,2201.8,0.088566,0.10151,0.17262,0.85708,0
-86.96,-25.69,207.21,3346.1,0.061926,0.12129,0.1461,0.96563,0
-86.95,153.83,523.06,8306.8,0.062968,0.055629,0.075742,0.86107,0
-86.93,174.56,208.89,2462.9,0.084816,0.18034,0.19788,0.62979,0
-86.88,133.84,291.14,1274.6,0.22842,0.14367,0.16256,0.34918,0
-86.87,-97.87,536.95,3458.9,0.15524,0.22987,0.040883,0.89812,0
-86.856,24.38,231.51,4008.5,0.057753,0.059837,0.11929,0.80421,0
-86.81,53.64,910.58,6851.1,0.13291,0.18587,0.21149,0.81132,0
-86.76,97.23,342.1,4041.4,0.08465,0.2283,0.14263,0.87227,0
-86.74,-30.26,515.95,4410.8,0.11697,0.19013,0.083132,0.61769,0
-86.74,-17.31,364.64,4968.1,0.073397,0.10375,0.12255,0.79996,0
-86.72,-21.77,938.14,7560.4,0.12409,0.091878,0.12167,0.55099,0
-86.711,26.345,237.12,2915.8,0.081321,0.15242,0.079958,0.8678,0
-86.71,167.63,232.53,1839.3,0.12642,0.2497,0.23252,0.98552,0
-86.71,-146.42,359.02,2404.7,0.1493,0.15597,0.14399,0.95418,0
-86.71,-44.1,247.93,2983.5,0.083102,0.12201,0.13506,0.83729,0
-86.689,-120.5,341.45,2926,0.1167,0.14121,0.16722,0.93531,0
-86.67,-131.58,227.25,2053,0.11069,0.14023,0.11402,0.75013,0
-86.63,-60.62,222.49,4032.9,0.055169,0.040351,0.057137,0.91503,0
-86.61,-13.48,194.84,4421.1,0.04407,0.057786,0.098976,0.94872,0
-86.61,-10.91,297.98,3881.5,0.076769,0.079959,0.12351,0.80605,0
-86.607,90.858,132.27,1777,0.074438,0.1694,0.10833,0.95849,0
-86.6,94.99,331.17,2559.5,0.12939,0.26095,0.22609,0.56558,0
-86.593,-135.98,237.68,2578.7,0.092169,0.16169,0.19423,0.64284,0
-86.59,19.76,541.71,5492.9,0.098621,0.13529,0.11982,0.90239,0
-86.58,-57.96,317.89,5968.7,0.053258,0.074272,0.1293,0.95121,0
-86.57,63.09,289.87,2925.9,0.099069,0.20544,0.14343,0.8783,0
-86.56,-129.75,226.03,2404.4,0.094005,0.092847,0.080487,0.56089,0
-86.54,-178.85,420.89,3584.8,0.11741,0.21763,0.24847,0.96777,0
-86.54,-53.48,856.04,7727,0.11079,0.12734,0.12216,0.57395,0
-86.54,-16.04,363.95,6151,0.059169,0.1229,0.11444,0.99999,0
-86.53,-132.21,343.55,3661.8,0.093819,0.13618,0.11048,0.62713,0
-86.51,119.34,210.52,3656.5,0.057575,0.13711,0.093129,0.95653,0
-86.49,-167.2,172.39,2751.9,0.062642,0.065982,0.080129,0.91347,0
-86.484,-135.66,80.88,1782.8,0.045367,0.13728,0.083176,0.78868,0
-86.47,-6.08,682.25,4760.7,0.14331,0.20935,0.19371,0.90671,0
